Total	X1	X2	M1	M2	S1	S2
183	22.6	0	2.4042	0.301	4.8200016	3.2823138
184	22.1	0	2.5486	0.4268	4.4660968	3.1521074
185	22.9	0	2.196	0.3276	4.5898064	3.2163468
187	23.5	0	3.386	0.3234	4.9904216	4.2753012
188	23.1	0	2.6536	0.3846	4.6050042	3.6486204
189	23.8	0	3.9376	0.3538	13.8336252	8.0693352
191	23.9	0	2.6418	0.3194	4.1425822	3.6812312
192	24.2	0	2.6262	0.347	4.4810758	3.4515006
193	24.9	0	3.624	0.318	4.476135	4.76547
194	27.4	0.1	3.041	0.339	22.203261	20.602565
195	24.8	0	2.6986	0.3258	5.034776	3.4705336
196	25.7	0	3.0902	0.3652	8.2806294	4.0839668
198	25.9	0	3.4368	0.3072	5.7122144	3.6445278
199	26	0	2.6196	0.3054	5.3902136	4.9188028
200	26.9	0	2.7296	0.4184	5.8504208	4.7066468
202	27.1	0	2.7916	0.3264	4.5104994	3.894882
203	27.1	0	2.843	0.3158	5.319061	4.1830548
204	27.8	0	3.2788	0.3772	4.3912616	3.4086674
205	31.1	0.1	3.7638	0.417	24.2830296	20.4892232
206	27.9	0	2.7694	0.327	5.7297736	4.4008456
207	28.3	0	3.7598	0.3738	4.5272006	5.3834696
208	28.9	0	3.4834	0.5514	5.1754554	3.5623124
209	28.9	0	3.342	0.3498	4.721393	3.876561
210	29.3	0	3.3272	0.3166	4.3952568	4.2217188
211	29.9	0	3.3696	0.3334	3.7262292	3.6807742
212	30.2	0.1	4.1816	0.3846	6.5735498	4.5425664
213	29.9	0	3.8542	0.4192	4.7007758	2.9210078
215	30.9	0	4.1796	0.3506	6.0626796	4.7299074
216	30.9	0	3.2948	0.3398	6.2175224	4.8245326
217	31.5	0	3.1072	0.308	5.4018484	4.2023564
218	31.8	0.2	4.325	0.5056	3.759813	3.8897916
220	32	0.2	4.9348	0.3676	4.128001	4.6636392
221	32.1	0	3.2698	0.353	5.0527856	3.688536
223	33.9	0	4.0548	0.4024	3.7932432	3.9320692
224	33.4	0	3.3042	0.3978	5.3544766	4.2033292
225	33.8	0	3.1332	0.3934	10.0152496	4.2333588
228	35.1	0.2	3.4474	0.4226	5.7469232	4.3233276
229	35.1	0.2	3.5066	0.3456	5.5868992	5.102058
230	35.4	0	4.5598	0.5056	6.7657084	4.085918
231	35.3	0.4	4.6258	0.4054	4.4189964	3.968318
232	35.9	0.2	4.1508	0.3982	4.8440118	3.6899196
233	36.2	0	3.4954	0.3714	5.686392	5.0839144
234	36.4	0	4.4796	0.3564	6.3684606	3.2254674
235	37.7	0.5	5.0628	0.4734	5.9957914	3.633282
236	36.8	0.9	4.749	0.478	6.1193114	3.710549
237	37.1	0.2	4.5604	0.4392	7.5805176	5.174824
238	38.1	0	4.2134	0.3682	6.12664	4.2969328
240	38.3	1	4.8334	0.4156	5.2579296	4.8058338
241	38.6	1	5.2434	0.4242	5.8650554	3.8606912
242	38.8	0.7	4.2534	0.455	7.3119044	4.4168978
243	39.1	0.5	5.2652	0.3716	7.1419924	4.069651
245	39.8	1	5.194	0.4256	5.1716876	3.8370472
246	40.2	0.2	3.7872	0.373	4.889461	5.7152942
247	40.8	1	5.2546	0.4058	7.4822544	4.6644674
250	41.8	1	5.9344	0.4492	6.7671292	5.2714638
251	42.8	1	5.419	0.3882	6.4940418	4.9655692
252	42.1	1	5.5956	0.429	7.1559824	6.6735198
253	42.9	1	4.5924	0.4442	6.2374018	3.537372
255	43.4	1	6.0108	0.3762	3.6129944	4.6433512
256	44.1	1	4.5294	0.39	7.7391904	4.588178
257	44.3	1	4.7508	0.4166	6.3368718	3.7397012
258	43.9	1	5.9066	0.4716	6.1386176	4.820569
260	45	1	4.8456	0.447	7.5604012	5.6593152
261	45.7	1	4.2432	0.3916	5.327093	4.546788
262	46.5	1	4.8192	0.4	6.414925	5.1545472
264	46.8	1	5.3776	0.432	6.368226	3.410992
265	46.8	1	4.759	0.4378	6.7425784	4.9050302
266	47	1	5.036	0.4294	5.7749358	3.128704
267	47.3	1	5.664	0.4748	8.255364	5.0354106
268	49.4	1	6.3068	0.5582	5.4831686	4.5727938
269	48.2	1	5.104	0.5462	4.6304066	4.5455118
270	48.8	1	4.5152	0.5024	6.9859854	4.1848872
