Total	S3	S4	S5	S6	S8
177	3.065762	7.8933196	2.3718444	4.640646	8.7098764
178	2.8358604	7.2252666	2.4629832	4.9317176	7.5520028
180	2.3605718	8.834289	2.3168664	3.0099232	5.309476
182	3.1761926	8.7286344	2.3065704	4.7002154	22.3064984
183	2.3329346	7.2400136	2.6595192	3.5490636	7.8346604
184	17.1202362	37.3593936	16.1399006	26.737014	117.3940308
185	2.7003716	22.708756	2.9113066	4.8417424	7.9407654
187	2.4170754	6.7534638	2.0486302	3.7073206	12.102228
188	2.9631414	5.8805612	2.5781878	4.401195	5.7417906
189	3.2574568	38.5600508	2.3045524	5.0187312	8.2976856
191	2.2355784	6.7198678	1.7735274	4.2276202	6.3279008
192	2.4136484	13.4588308	2.0434698	4.6440194	12.1756856
193	3.2373196	8.6518854	2.6498568	4.6974842	149.8398752
194	20.8072138	56.9946502	16.7813634	19.8882632	46.5309204
195	2.5781478	6.340034	1.7255978	4.2760034	6.1863424
196	2.9185984	16.985326	2.3806458	4.2577232	15.7751712
198	2.151814	11.6252856	3.3205792	4.706923	7.5442992
199	2.7956138	12.5569358	1.9747386	3.9312218	11.4938318
200	3.0139724	14.187708	3.0598978	5.5119228	14.7954832
202	2.2570622	7.1064768	2.1863356	3.7310218	120.8433966
203	2.9248438	47.916176	2.73506	5.0517728	8.7454056
204	1.950381	16.6947452	1.7138022	4.183735	37.3636654
205	16.7614434	35.4569558	15.4424556	24.7679886	32.0440008
206	2.8241226	16.3657864	3.0514438	5.2661448	15.8343904
207	2.0900264	10.6616354	2.3681072	3.587059	133.719213
208	2.8704	10.965816	2.0622748	4.1810718	22.884868
209	2.5710982	23.3596408	2.5711336	4.113772	20.7578478
210	2.77172	21.3904164	2.4789588	5.225362	9.0055224
211	2.5021486	7.9160434	2.1752652	4.2825264	91.31164
212	2.4663198	10.5436946	2.494518	5.0241556	141.1740264
213	2.282202	23.539005	2.3300382	3.8573462	37.8219228
215	19.6164386	43.1345286	19.649215	20.803071	88.1981154
216	2.8180396	10.0390768	1.9519564	5.242067	192.0162524
217	3.7057608	11.457534	2.3692268	5.7735492	7.724384
218	3.5905472	12.1252792	2.6964534	6.850887	8.4702356
220	2.6464152	7.9746794	2.0956098	5.5435698	120.5675536
221	3.4151068	13.023016	3.4532156	5.5328116	10.1500972
