Uniques	Duplicates	X1	M1	S1
190	66	47	4.9626	6.9482524
190	71	45.7	4.6164	6.8197252
190	76	47	5.036	5.7749358
190	80	49.1	5.434	5.6153748
190	85	50.7	4.874	5.9070068
190	9	26.6	3.366	8.6591046
190	90	52.6	5.232	5.6712456
190	95	54.8	6.0466	5.3765024
200	10	29.9	4.2564	6.7789526
200	100	60.5	6.2768	7.2503332
200	15	30.9	4.1796	6.0626796
200	20	32	4.9348	4.128001
200	25	33.9	4.5222	5.2196036
200	30	35.4	4.5598	6.7657084
200	35	37.7	5.0628	5.9957914
200	40	38.3	4.8334	5.2579296
200	45	39.8	5.194	5.1716876
200	5	31.1	3.7638	24.2830296
200	50	41.8	5.9344	6.7671292
200	55	43.5	4.8066	10.3235082
200	60	45	4.8456	7.5604012
200	65	46.8	4.759	6.7425784
200	70	48.8	5.9816	11.4624596
200	75	51.3	5.8396	6.3573432
200	80	52.8	5.9672	6.2810924
200	85	55.3	5.6038	6.4717436
200	90	56.6	5.2992	6.7408016
200	95	58.6	5.699	6.6389668
210	10	32.1	4.0698	7.762231
210	105	66.6	6.4794	8.1474476
210	15	34.4	4.6856	5.8382414
210	21	35.3	4.6258	4.4189964
210	26	36.8	4.749	6.1193114
210	31	38.6	5.2434	5.8650554
210	36	40.2	4.4572	5.4304338
210	42	44.8	4.962	4.777347
210	47	44.3	4.7508	6.3368718
210	5	33.9	4.2016	22.2999438
210	52	46.5	4.8192	6.414925
210	57	47.3	5.664	8.255364
210	63	50.1	5.522	8.246978
210	68	51.7	6.0032	9.7808698
210	73	53.6	7.4028	9.2343208
210	78	55.8	6.2614	5.4180104
210	84	58.2	6.0282	5.7495304
210	89	59.9	6.5236	6.2556398
210	94	61.9	6.1852	7.829406
210	99	64.8	6.3338	7.64417
220	104	70.5	6.5866	8.3189624
220	11	35.8	4.7506	5.6225488
220	110	73	7.1142	8.6604728
220	16	37	4.7172	4.8109436
220	22	38.8	4.8254	6.4886164
220	27	40.9	4.6794	4.3408912
220	33	42.9	4.5924	6.2374018
220	38	45	4.912	4.576572
220	44	47	5.4094	5.0950302
220	49	48.2	5.104	4.6304066
220	5	38.1	4.9974	24.8920434
220	55	50.8	5.9204	7.9668896
220	60	53.2	7.597	6.9873554
220	66	57.2	6.4526	17.0373352
220	71	57	6.334	6.7248884
220	77	59.8	6.3962	8.6302348
220	82	61.2	6.2998	7.564294
220	88	63.7	7.5154	7.7482172
220	93	66	7.6076	8.7831588
220	99	68.4	7.2112	8.511914
230	103	74.8	8.4674	8.2464196
230	109	76.9	7.428	8.4604296
230	11	38.8	5.1808	9.9298278
230	115	80.6	8.3988	9.3979052
230	17	40.8	6.4794	6.0806282
230	23	42.9	5.9064	6.7319486
